     1		 959  1027 	  2 8 
     2		 961   983 	  1 3 
     3		 965   938 	  2 4 
     4		 969   893 	  3 5 
     5		 974   848 	  4 6 
     6		 978   804 	  5 7 
     7		 982   759 	  6 9 
     8		 983  1057 	  1 21 
     9		 986   715 	  7 10 
    10		 990   670 	  9 11 
    11		 994   627 	  10 12 
    12		 998   582 	  11 13 
    13		1002   537 	  12 14 
    14		1006   495 	  13 15 
    15		1010   449 	  14 16 
    16		1014   404 	  15 17 
    17		1017   360 	  16 18 
    18		1021   315 	  17 19 
    19		1024   269 	  18 20 
    20		1027   225 	  19 22 
    21		1028  1057 	  8 26 
    22		1032   182 	  20 23 27 
    23		1038   115 	  22 24 33 
    24		1041    71 	  23 25 
    25		1045    25 	  24 
    26		1073  1056 	  21 29 
    27		1076   167 	  22 30 
    28		1095   128 	  33 31  
    29		1118  1055 	  26 32 
    30		1121   151 	  27 35
    31		1126   116 	  28 34
    32		1160  1055 	  29
    33		1065   127 	  23 28
    34		1156   106 	  31 
    35		1161   140 	  30
