     1		 148  1173 	  2 
     2		 194  1172 	  1 5 
     3		 213   287 	  6 
     4		 217   248 	  7 
     5		 239  1171 	  2 8 
     6		 258   274 	  3 9
     7		 261   235 	  4 10 
     8		 284  1169 	  5 11 
     9		 303   260 	  6 12 
    10		 306   221 	  7 13 
    11		 330  1168 	  8 14 
    12		 348   246 	  9 16 
    13		 349   208 	  10 15 
    14		 373  1166 	  11 17 
    15		 393   194 	  13 18 
    16		 393   233 	  12 19 
    17		 419  1162 	  14 20 
    18		 438   180 	  15 92 
    19		 438   220 	  16 22 
    20		 463  1160 	  17 23 
    21		 490   160 	  24 92
    22		 483   206 	  19 25 
    23		 508  1159 	  20 26 
    24		 526   147 	  21 27
    25		 528   193 	  22 28 
    26		 553  1161 	  23 29 
    27		 571   134 	  24 30 
    28		 572   179 	  25 31 
    29		 597  1159 	  26 32 
    30		 615   125 	  27 46 
    31		 616   167 	  28 45 
    32		 617  1155 	  29 33
    33		 627  1142 	  32 34
    34		 631  1098 	  33 35
    35		 634  1053 	  34 37
    36		 637   878 	  38 39
    37		 638  1010 	  35 40
    38		 639   921 	  36 40
    39		 641   834 	  36 41
    40		 642   966 	  37 38 
    41		 648   790 	  39 43 
    42		 657  1155 	  44 60 
    43		 658   746 	  41 48
    44		 658  1127 	  42 47 
    45		 659   157 	  31 67 
    46		 660   119 	  30 71 
    47		 662  1083 	  44 49 
    48		 663   698 	  43 50 
    49		 665  1040 	  47 51 
    50		 667   654 	  48 52
    51		 669   995 	  49 53 
    52		 671   608 	  50 54
    53		 673   950 	  51 55 
    54		 675   565 	  52 56 
    55		 677   907 	  53 57 
    56		 679   523 	  54 58
    57		 680   864 	  55 59 
    58		 683   476 	  56 61 
    59		 685   819 	  57 62 
    60		 684  1156 	  42
    61		 687   432 	  58 63
    62		 688   775 	  59 64 
    63		 690   388 	  61 65 
    64		 692   731 	  62 66 
    65		 693   344 	  63 69
    66		 695   687 	  64 68 
    67		 699   155 	  45 75 
    68		 699   642 	  66 70 
    69		 700   299 	  65 72 
    70		 702   598 	  68 73 
    71		 704   108 	  46 83 
    72		 707   255 	  69 74
    73		 710   555 	  70 76 
    74		 714   209 	  72 75
    75		 717   183 	  67 74
    76		 719   512 	  73 77 
    77		 726   468 	  76 78 
    78		 732   424 	  77 79 
    79		 732   380 	  78 80 
    80		 733   336 	  79 81 
    81		 740   292 	  80 82 
    82		 747   249 	  81 84 
    83		 748    98 	  71 87 
    84		 754   204 	  82 85 
    85		 764   159 	  84 86 
    86		 770   141 	  85 93 
    87		 793    90 	  83 89 
    88		 826   121 	  91 93 
    89		 828    83 	  87 90
    90		 862    77 	  89
    91		 863   115 	  88
    92		 470   171 	  18 21 
    93		 785   129 	  86 88 
